id,condition,type,product,store,online_shopping_1,online_shopping_2,online_shopping_3,popular_products_1,popular_products_2,popular_products_3,popular_products_4,popular_products_5,popular_products_6,attitude_1,attitude_2,attitude_3,attitude_4,attitude_5,attitude_6,attitude_7,attitude_8,attitude_9,store_familiarity_1,store_familiarity_2,store_familiarity_3,fomo_1,fomo_2,fomo_3,fomo_4,fomo_5,fomo_6,fomo_7,fomo_8,truth_1,truth_2,truth_3,truth_4,truth_5,truth_6,insta_attitude_1,insta_attitude_2,insta_attitude_3,insta_attitude_4,insta_attitude_5,insta_attitude_6,participation_1,participation_2,participation_3,participation_4,participation_5,participation_6,age,gender,race,education,income
7299,priming,utilitarian,house plant,IKEA,5,5,3,4,4,3,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,1,5,1,1,1,1,1,1,3,5,4,5,3,4,3,3,3,3,3,1,5,1,1,1,4,2,29,Female,Other,Associate degree,"10,000 USD - 49,999 USD"
7423,priming,utilitarian,house plant,The Home Depot,5,6,6,4,5,4,4,4,4,6,6,6,6,5,6,5,6,7,7,6,6,5,4,4,4,4,5,4,4,5,4,2,3,4,4,4,5,4,5,4,5,1,1,2,4,4,5,27,Female,Black or African American,Associate degree,"10,000 USD - 49,999 USD"
7950,priming,hedonic,house plant,IKEA,6,6,6,6,6,3,4,3,3,3,3,3,3,3,6,4,4,5,4,4,4,2,5,4,2,2,2,3,2,2,2,2,2,2,2,6,6,6,2,2,2,1,1,2,2,1,2,29,Female,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
8103,priming,utilitarian,house plant,The Home Depot,7,7,6,4,4,4,4,4,4,6,6,6,4,6,6,6,6,5,7,6,6,2,2,5,5,1,2,2,2,5,6,5,6,4,4,5,4,5,6,6,6,1,1,1,1,4,3,30,Female,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
8239,no priming,utilitarian,house plant,IKEA,7,7,7,4,5,3,2,1,1,7,7,7,5,7,7,7,7,7,7,7,7,5,6,2,2,2,1,4,5,3,5,3,2,3,5,7,7,7,7,7,7,2,3,3,3,4,4,33,Male,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
8396,no priming,hedonic,house plant,The Home Depot,4,3,3,3,4,4,5,5,5,3,3,4,4,3,4,4,5,4,7,7,7,3,2,2,3,2,2,2,2,2,4,2,4,4,2,5,4,4,3,3,3,4,3,4,4,4,4,35,Female,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
8954,priming,utilitarian,house plant,The Home Depot,5,5,5,2,2,2,2,2,2,2,2,4,4,4,4,5,2,5,4,4,4,3,5,6,5,1,2,6,6,4,4,4,4,4,4,5,5,3,3,4,3,2,2,2,4,2,2,31,Female,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
8974,priming,utilitarian,house plant,The Home Depot,6,6,5,6,4,4,4,3,3,7,7,4,4,7,7,4,4,6,7,7,7,4,4,4,4,4,5,4,4,4,4,4,5,4,4,3,3,4,5,4,4,5,3,4,3,3,4,19,Female,Hispanic,Associate degree,"10,000 USD - 49,999 USD"
9216,no priming,utilitarian,house plant,The Home Depot,5,4,5,6,6,4,4,6,5,6,6,7,4,6,7,7,7,5,7,7,7,6,7,5,7,2,3,1,1,3,5,3,5,3,4,7,7,7,7,7,7,4,5,5,6,4,6,26,Female,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
9468,priming,hedonic,house plant,IKEA,3,5,4,5,4,4,4,4,5,5,2,2,2,5,2,3,3,6,5,4,7,4,5,5,4,4,4,5,5,4,5,5,5,5,5,6,5,6,4,4,4,5,5,5,5,5,5,23,Female,Asian,Associate degree,"10,000 USD - 49,999 USD"
9591,priming,hedonic,house plant,The Home Depot,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,4,5,7,7,5,1,2,1,5,4,4,4,4,4,7,7,7,7,7,7,6,6,6,6,6,6,26,Female,Asian,Associate degree,"10,000 USD - 49,999 USD"
9773,priming,utilitarian,house plant,The Home Depot,2,2,2,5,5,6,5,5,5,6,5,7,7,6,6,6,5,6,7,6,6,5,5,3,5,5,5,6,6,2,2,2,3,1,3,5,5,5,6,5,5,2,2,1,1,2,2,32,Female,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
5520,no priming,hedonic,house plant,IKEA,7,7,7,4,4,3,5,5,4,3,2,2,4,4,4,3,2,5,6,4,4,4,7,5,3,3,3,4,4,4,6,5,5,5,5,7,7,7,4,4,5,5,5,5,5,5,5,25,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
5800,priming,hedonic,house plant,IKEA,7,7,7,7,7,7,7,5,5,4,4,1,1,4,5,5,5,4,5,5,5,3,5,3,5,1,1,5,5,1,5,4,4,4,4,4,2,4,5,4,4,2,1,3,2,6,4,28,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
5819,no priming,hedonic,house plant,IKEA,5,5,5,5,5,4,4,4,4,5,5,4,4,6,5,3,3,6,6,5,5,5,5,7,6,3,3,6,6,3,4,4,3,3,4,6,5,5,6,4,7,3,3,3,3,3,2,24,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
5925,priming,utilitarian,house plant,IKEA,5,5,6,4,4,3,3,4,4,7,5,7,6,6,7,5,4,7,7,5,4,1,4,1,1,1,1,1,2,1,4,4,2,4,3,1,3,1,1,4,2,4,2,5,4,4,4,33,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
5985,no priming,hedonic,house plant,IKEA,7,7,7,5,5,5,4,6,6,4,7,5,4,7,7,6,7,7,4,6,5,2,2,6,4,2,3,5,6,3,5,3,3,3,2,7,5,6,6,7,5,6,6,6,6,4,5,31,Female,Black or African American,Bachelor's degree,"10,000 USD - 49,999 USD"
6105,priming,hedonic,house plant,The Home Depot,5,7,7,5,7,7,6,6,7,6,6,4,2,7,7,6,7,7,7,6,6,1,1,1,1,1,1,5,5,2,2,5,6,2,2,2,4,5,2,3,2,1,1,1,3,2,2,31,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
6182,priming,utilitarian,house plant,IKEA,5,7,7,5,6,5,4,7,5,5,7,5,5,6,6,7,5,6,5,6,6,5,6,7,6,3,5,4,4,4,5,6,5,7,5,5,6,4,5,5,7,5,6,4,5,5,6,34,Female,Hispanic,Bachelor's degree,"10,000 USD - 49,999 USD"
6239,no priming,utilitarian,house plant,IKEA,6,5,3,1,1,1,1,1,1,3,2,6,6,4,4,5,4,5,7,7,7,2,5,2,5,2,1,7,6,1,2,1,1,1,1,7,6,7,5,6,4,2,3,3,5,5,4,24,Male,Black or African American,Bachelor's degree,"10,000 USD - 49,999 USD"
6504,no priming,hedonic,house plant,IKEA,5,5,5,5,5,5,5,5,5,4,4,2,4,4,4,4,4,5,1,1,1,5,5,5,2,4,5,5,5,5,5,5,5,5,5,5,4,5,2,2,5,4,3,3,3,2,2,27,Male,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
6613,no priming,hedonic,house plant,The Home Depot,7,7,7,6,6,6,7,7,7,7,7,7,7,7,6,6,6,7,6,7,7,3,2,7,6,4,6,2,2,4,6,6,6,5,7,6,7,6,6,7,7,6,5,5,6,5,6,27,Male,Black or African American,Bachelor's degree,"10,000 USD - 49,999 USD"
6739,priming,utilitarian,house plant,IKEA,6,6,6,5,5,4,3,3,3,2,2,2,2,6,6,2,2,4,6,6,6,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,28,Female,Black or African American,Bachelor's degree,"10,000 USD - 49,999 USD"
6843,no priming,utilitarian,house plant,IKEA,7,5,7,5,6,4,7,4,4,4,4,4,4,4,7,7,4,7,7,7,7,1,1,1,5,2,2,4,3,5,6,4,6,3,2,7,7,7,4,4,6,3,5,5,5,4,5,24,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
7018,no priming,hedonic,house plant,The Home Depot,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,3,3,30,Male,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
7064,priming,hedonic,house plant,The Home Depot,6,6,5,3,3,3,2,2,2,5,5,5,6,6,5,6,4,7,7,6,5,2,2,2,5,2,2,5,5,1,5,2,2,1,1,6,5,6,5,5,3,2,2,2,2,2,2,27,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
7159,priming,utilitarian,house plant,The Home Depot,5,5,5,4,5,4,4,5,5,5,7,6,7,7,6,5,6,6,3,4,4,5,6,6,5,3,3,3,3,4,5,4,3,6,5,7,7,7,4,5,6,6,6,1,6,6,6,29,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
7199,no priming,utilitarian,house plant,The Home Depot,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,3,3,3,3,3,22,Female,Black or African American,Bachelor's degree,"10,000 USD - 49,999 USD"
7238,priming,utilitarian,house plant,IKEA,1,1,1,4,4,4,4,4,3,4,4,7,7,4,4,5,5,5,7,7,7,3,2,2,2,2,2,5,5,4,1,4,4,5,4,5,4,5,3,3,3,2,2,2,2,2,2,29,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
7396,priming,utilitarian,house plant,The Home Depot,6,4,5,5,6,4,4,6,5,5,2,4,5,2,4,6,4,4,5,3,6,6,4,5,3,5,3,4,6,6,4,5,3,5,4,5,4,6,4,4,5,4,4,2,6,4,2,32,Female,Black or African American,Bachelor's degree,"10,000 USD - 49,999 USD"
7450,no priming,utilitarian,house plant,IKEA,4,3,4,6,5,2,4,4,4,7,4,7,7,7,7,7,7,7,5,5,5,2,2,5,3,2,2,5,5,3,4,4,5,2,3,5,4,5,3,3,3,6,2,6,6,4,6,35,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
7559,priming,hedonic,house plant,The Home Depot,3,5,5,4,6,6,4,4,3,5,5,6,7,7,5,7,4,7,7,7,7,2,1,3,5,3,2,1,2,1,4,3,3,5,5,1,4,1,1,1,1,2,2,3,2,1,2,31,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
7792,no priming,utilitarian,house plant,IKEA,7,7,7,7,7,7,7,7,7,6,5,6,5,4,4,6,3,5,6,3,6,1,2,3,4,1,1,1,3,3,3,3,5,4,3,3,3,3,2,2,1,4,4,4,4,4,4,25,Female,Asian,Bachelor's degree,"10,000 USD - 49,999 USD"
7840,no priming,hedonic,house plant,IKEA,3,5,4,4,4,4,4,4,4,5,4,5,4,6,6,4,4,6,5,3,4,4,6,5,4,4,4,6,6,4,5,4,4,4,4,6,5,6,4,5,6,5,4,4,4,6,4,26,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
8202,no priming,utilitarian,house plant,The Home Depot,2,3,3,5,4,4,4,4,4,5,4,3,4,6,6,3,1,7,5,5,4,5,6,5,4,3,3,5,6,2,3,3,3,2,3,6,4,6,5,5,4,2,2,2,2,2,2,21,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
8245,no priming,hedonic,house plant,The Home Depot,7,7,6,4,4,4,4,4,4,1,1,2,4,4,2,4,2,3,7,7,7,1,2,2,2,2,2,6,5,2,3,5,1,1,2,5,4,3,2,6,6,3,3,3,3,3,5,34,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
8258,no priming,hedonic,house plant,IKEA,7,7,7,4,7,4,3,3,3,1,1,1,1,4,4,4,1,5,7,7,7,3,4,5,3,1,2,2,2,1,3,3,2,3,3,6,6,6,4,4,5,5,3,4,4,4,3,25,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
8352,no priming,hedonic,house plant,IKEA,3,3,4,5,5,5,6,5,3,4,3,4,5,5,5,4,4,6,1,1,1,5,6,5,4,2,2,5,6,3,4,4,5,5,5,2,4,2,2,2,4,1,1,1,1,1,1,26,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
8524,no priming,hedonic,house plant,IKEA,3,6,6,5,5,5,5,5,5,2,2,2,2,4,5,5,1,5,5,5,5,5,6,6,6,6,6,5,4,2,5,3,3,2,3,6,6,6,6,6,6,2,2,2,2,5,2,27,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
8574,priming,hedonic,house plant,The Home Depot,5,6,5,4,4,1,4,4,4,1,3,4,4,4,4,5,5,4,6,5,5,5,5,1,3,1,1,1,1,3,3,4,4,2,2,1,1,1,1,1,1,2,4,3,4,3,4,26,Female,Mixed,Bachelor's degree,"10,000 USD - 49,999 USD"
8630,priming,hedonic,house plant,IKEA,3,4,4,1,2,1,1,3,2,3,3,3,4,4,4,4,4,4,4,2,3,1,1,1,1,1,1,2,2,2,4,3,2,3,2,5,3,5,1,2,5,4,3,3,3,4,3,29,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
8796,no priming,utilitarian,house plant,IKEA,6,6,6,6,6,6,5,5,5,7,6,7,7,6,6,7,6,7,7,7,7,4,3,5,4,2,2,2,2,5,5,5,5,5,5,7,6,6,7,6,7,5,4,4,6,4,6,35,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
8821,priming,hedonic,house plant,IKEA,4,5,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,4,4,6,6,6,6,6,6,5,6,5,4,5,5,4,4,4,4,4,4,29,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
8908,priming,utilitarian,house plant,IKEA,4,6,4,5,5,5,5,4,5,5,3,6,5,5,5,5,2,4,6,6,6,2,2,2,3,2,1,2,2,4,5,4,4,4,3,5,4,4,2,4,3,4,4,4,4,4,5,31,Female,Black or African American,Bachelor's degree,"10,000 USD - 49,999 USD"
8968,priming,hedonic,house plant,IKEA,7,7,7,5,7,7,6,5,5,4,4,4,4,6,6,4,4,6,7,7,7,7,5,4,5,3,5,1,1,5,5,5,5,4,4,7,7,7,7,7,7,6,5,3,3,4,4,29,Male,Black or African American,Bachelor's degree,"10,000 USD - 49,999 USD"
8980,priming,utilitarian,house plant,IKEA,1,1,1,5,5,4,2,2,2,4,4,4,6,6,5,6,6,4,7,7,7,2,3,1,1,1,1,3,3,3,3,3,3,2,5,5,5,5,2,4,5,2,2,2,2,3,3,23,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
9104,no priming,utilitarian,house plant,IKEA,5,6,4,4,4,5,5,6,5,5,4,6,6,5,5,5,5,5,3,3,2,2,3,3,6,4,4,2,2,5,5,5,5,3,3,1,4,2,1,3,3,1,1,1,1,1,1,23,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
9399,no priming,utilitarian,house plant,IKEA,4,3,5,5,4,4,6,4,4,4,4,6,4,4,4,4,6,6,4,4,4,1,3,1,1,1,1,1,1,4,5,4,4,4,4,6,4,6,4,5,4,5,4,3,5,3,4,32,Male,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
9413,priming,utilitarian,house plant,IKEA,7,7,7,6,6,5,6,4,4,6,6,6,6,6,5,6,4,5,7,6,6,4,4,4,6,3,3,5,5,2,5,3,1,2,2,7,6,7,6,5,6,3,3,3,3,3,3,26,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
9456,no priming,hedonic,house plant,The Home Depot,3,4,3,4,5,4,4,4,5,1,1,1,1,1,4,1,1,4,7,1,1,2,4,5,5,2,2,2,2,5,6,6,5,6,6,2,3,1,1,2,4,2,1,1,1,1,3,27,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
9458,no priming,utilitarian,house plant,IKEA,6,5,6,4,5,4,5,5,5,5,5,5,3,3,5,5,4,6,7,7,7,4,4,5,5,5,3,3,3,3,5,3,4,3,4,7,6,7,4,6,5,4,4,4,4,4,5,28,Female,Hispanic,Bachelor's degree,"10,000 USD - 49,999 USD"
9530,priming,utilitarian,house plant,IKEA,5,6,6,2,2,2,1,1,1,7,7,7,7,7,7,7,5,6,4,3,3,2,5,1,1,2,2,1,1,3,2,2,3,2,2,5,6,3,3,7,7,6,6,6,6,4,6,24,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
9674,priming,hedonic,house plant,IKEA,4,5,5,6,6,6,6,6,6,7,7,6,6,7,7,7,6,7,4,5,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,5,6,5,5,27,Female,Asian,Bachelor's degree,"10,000 USD - 49,999 USD"
9684,priming,utilitarian,house plant,IKEA,5,6,5,4,5,5,3,4,4,5,4,7,6,5,6,4,3,4,1,1,1,2,5,3,2,2,2,5,5,5,6,5,5,4,5,3,6,4,3,3,4,4,5,6,6,2,5,22,Female,Black or African American,Bachelor's degree,"10,000 USD - 49,999 USD"
9870,priming,utilitarian,house plant,The Home Depot,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,6,1,1,4,4,5,33,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
9895,priming,hedonic,house plant,IKEA,7,7,7,7,7,7,7,6,6,6,5,5,6,6,7,7,6,7,7,6,6,1,5,5,5,4,5,3,3,7,5,5,6,5,6,6,6,6,5,5,5,6,2,1,3,5,6,31,Female,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
9991,no priming,hedonic,house plant,IKEA,7,6,6,5,6,5,4,3,3,3,1,1,4,5,4,3,3,5,6,5,5,4,5,3,3,1,2,6,5,3,2,4,3,3,4,6,3,6,2,3,4,3,3,1,4,2,2,26,Male,Caucasian,Bachelor's degree,"10,000 USD - 49,999 USD"
5038,no priming,hedonic,house plant,IKEA,3,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,5,5,4,4,4,3,3,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,27,Female,Black or African American,High school,"10,000 USD - 49,999 USD"
5075,no priming,hedonic,house plant,IKEA,6,5,7,4,5,5,4,2,2,1,1,1,1,1,1,1,1,1,3,3,4,1,2,3,5,5,5,5,5,3,5,5,2,3,3,6,6,6,6,6,6,1,1,2,2,6,6,30,Female,Caucasian,High school,"10,000 USD - 49,999 USD"
5160,priming,hedonic,house plant,IKEA,6,6,6,5,5,5,5,6,6,7,7,7,6,6,6,6,6,6,4,4,4,2,3,5,5,2,2,2,2,3,3,3,4,4,4,5,5,5,5,5,3,1,1,1,6,5,6,20,Female,Black or African American,High school,"10,000 USD - 49,999 USD"
5316,priming,utilitarian,house plant,IKEA,6,6,5,5,6,6,4,4,5,6,5,7,6,6,5,7,6,7,5,5,5,5,4,5,4,4,5,4,3,5,7,5,6,5,5,4,7,5,6,7,7,2,2,2,4,6,4,35,Female,Caucasian,High school,"10,000 USD - 49,999 USD"
5339,priming,utilitarian,house plant,The Home Depot,7,6,7,6,5,5,7,6,7,7,7,7,7,7,6,7,6,7,7,7,7,4,4,4,3,3,4,2,2,6,7,4,5,6,5,5,7,6,4,6,6,5,5,5,5,5,4,23,Female,Black or African American,High school,"10,000 USD - 49,999 USD"
5345,priming,utilitarian,house plant,The Home Depot,4,6,7,2,5,4,4,6,5,4,4,5,4,5,5,4,4,6,7,5,7,1,4,1,4,1,2,4,4,4,5,4,4,4,4,2,3,2,2,4,1,1,1,1,1,1,1,20,Male,Caucasian,High school,"10,000 USD - 49,999 USD"
5364,priming,utilitarian,house plant,IKEA,1,5,5,4,4,3,4,3,3,5,5,4,4,1,5,4,4,6,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,1,1,1,1,1,1,25,Male,Caucasian,High school,"10,000 USD - 49,999 USD"
5430,no priming,utilitarian,house plant,The Home Depot,2,2,2,5,4,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,2,2,3,5,2,2,5,5,3,3,5,5,5,5,5,5,3,3,3,5,1,1,1,1,1,1,22,Female,Caucasian,High school,"10,000 USD - 49,999 USD"
5451,priming,hedonic,house plant,The Home Depot,5,5,5,5,5,5,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,5,5,5,4,4,4,4,25,Male,Black or African American,High school,"10,000 USD - 49,999 USD"
5471,priming,hedonic,house plant,The Home Depot,6,6,5,5,6,5,6,6,6,7,7,7,5,6,6,7,7,7,6,6,7,4,5,7,5,4,5,2,1,5,5,5,6,5,5,6,5,6,4,6,6,6,5,6,6,5,6,33,Male,Black or African American,High school,"10,000 USD - 49,999 USD"
5473,priming,utilitarian,house plant,IKEA,5,6,5,4,5,4,4,4,4,7,7,7,7,7,7,7,7,7,5,5,5,2,4,4,1,2,2,2,2,3,5,4,4,5,5,5,5,4,4,5,4,4,4,4,4,4,4,27,Female,Caucasian,High school,"10,000 USD - 49,999 USD"
5575,priming,utilitarian,house plant,IKEA,7,7,7,7,6,6,7,6,7,7,7,7,7,7,6,7,5,7,7,6,6,4,5,6,6,7,4,5,5,6,5,5,5,6,6,5,6,7,6,5,5,5,6,6,5,5,6,29,Male,Caucasian,High school,"10,000 USD - 49,999 USD"
5590,priming,utilitarian,house plant,The Home Depot,6,6,7,5,5,5,4,4,4,2,2,3,3,3,3,3,3,5,7,6,5,3,2,3,1,3,3,5,5,2,2,3,2,1,4,6,2,5,4,5,5,2,2,2,3,3,3,24,Female,Caucasian,High school,"10,000 USD - 49,999 USD"
5728,priming,hedonic,house plant,The Home Depot,5,6,5,7,6,4,5,6,5,6,7,5,4,6,7,7,5,6,7,5,6,7,5,3,7,2,6,2,2,4,3,2,4,4,4,2,3,4,3,5,7,5,4,4,5,5,4,32,Male,Caucasian,High school,"10,000 USD - 49,999 USD"
5768,priming,hedonic,house plant,IKEA,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,4,5,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,3,29,Female,Asian,High school,"10,000 USD - 49,999 USD"
